INFO 2025-10-11 15:45:21,873 basehttp 8640 15500 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-10-11 15:45:21,887 basehttp 8640 11452 "GET /static/admin/img/icon-yes.svg HTTP/1.1" 200 436
INFO 2025-10-11 15:45:21,907 basehttp 8640 15500 "GET /static/admin/img/icon-no.svg HTTP/1.1" 200 560
INFO 2025-10-11 15:45:21,911 basehttp 8640 29736 "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 200 331
INFO 2025-10-11 15:45:21,912 basehttp 8640 30192 "GET /static/admin/img/sorting-icons.svg HTTP/1.1" 200 1097
INFO 2025-10-11 15:45:21,915 basehttp 8640 11452 "GET /static/admin/js/filters.js HTTP/1.1" 200 978
INFO 2025-10-11 15:45:21,917 basehttp 8640 5448 "GET /static/admin/img/icon-viewlink.svg HTTP/1.1" 200 581
INFO 2025-10-11 15:45:25,693 middleware 8640 5448 IMPORTANT Request: GET /admin/auth/user/6/change/ from 127.0.0.1 by Anonymous
INFO 2025-10-11 15:45:25,720 basehttp 8640 5448 "GET /admin/auth/user/6/change/ HTTP/1.1" 200 25419
INFO 2025-10-11 15:45:25,759 middleware 8640 5448 IMPORTANT Request: GET /admin/jsi18n/ from 127.0.0.1 by Anonymous
INFO 2025-10-11 15:45:25,764 basehttp 8640 5448 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-10-11 15:45:59,171 autoreload 8640 12940 C:\Users\LuisF\Desktop\TrabajoSeguridadInformacion\store\admin.py changed, reloading.
INFO 2025-10-11 15:45:59,735 autoreload 23844 11756 Watching for file changes with StatReloader
INFO 2025-10-11 15:46:02,446 basehttp 23844 24256 "GET / HTTP/1.1" 200 35204
INFO 2025-10-11 15:46:02,515 basehttp 23844 24256 "GET /media/products/breakfast_blend.jpg HTTP/1.1" 304 0
INFO 2025-10-11 15:46:02,518 basehttp 23844 24256 "GET /media/products/Coffee-Image.jpg HTTP/1.1" 304 0
INFO 2025-10-11 15:46:02,552 basehttp 23844 24256 "GET /media/products/1-2-scaled-e1691638236735-600x600.jpg HTTP/1.1" 304 0
INFO 2025-10-11 15:46:02,564 basehttp 23844 24256 "GET /media/products/DSC_4084-scaled.jpg HTTP/1.1" 304 0
INFO 2025-10-11 15:46:02,564 basehttp 23844 20596 "GET /media/products/Best-Decaf-Espresso-Beans-900x601.jpg HTTP/1.1" 304 0
INFO 2025-10-11 15:46:02,565 basehttp 23844 28980 "GET /media/products/377240011_0_640x640.jpg HTTP/1.1" 304 0
INFO 2025-10-11 15:46:02,567 basehttp 23844 8324 "GET /media/products/cafedeespecialidad-espresso-003.jpg HTTP/1.1" 304 0
INFO 2025-10-11 15:46:02,567 basehttp 23844 7536 "GET /media/products/yirgacheffe-coffee.jpg HTTP/1.1" 304 0
INFO 2025-10-11 15:46:02,575 basehttp 23844 7536 "GET /media/products/ai.jpg HTTP/1.1" 304 0
INFO 2025-10-11 15:46:02,581 basehttp 23844 7536 "GET /media/products/images.jpg HTTP/1.1" 304 0
INFO 2025-10-11 15:46:02,581 basehttp 23844 8324 "GET /media/products/R_YrG9Jj6.jpg HTTP/1.1" 304 0
INFO 2025-10-11 15:46:04,050 middleware 23844 8324 IMPORTANT Request: GET /login/ from 127.0.0.1 by Anonymous
INFO 2025-10-11 15:46:04,058 basehttp 23844 8324 "GET /login/ HTTP/1.1" 200 12371
INFO 2025-10-11 15:46:09,891 middleware 23844 8324 IMPORTANT Request: POST /login/ from 127.0.0.1 by Anonymous
INFO 2025-10-11 15:46:10,859 views 23844 8324 Usuario admin inició sesión exitosamente desde IP: 127.0.0.1
INFO 2025-10-11 15:46:10,866 basehttp 23844 8324 "POST /login/ HTTP/1.1" 302 0
INFO 2025-10-11 15:46:10,871 middleware 23844 8324 IMPORTANT Request: GET /admin-dashboard/ from 127.0.0.1 by Anonymous
INFO 2025-10-11 15:46:10,886 basehttp 23844 8324 "GET /admin-dashboard/ HTTP/1.1" 200 13521
INFO 2025-10-11 15:46:14,131 middleware 23844 8324 IMPORTANT Request: GET /admin-dashboard/users/ from 127.0.0.1 by Anonymous
INFO 2025-10-11 15:46:14,141 basehttp 23844 8324 "GET /admin-dashboard/users/ HTTP/1.1" 200 6575
INFO 2025-10-11 15:46:16,259 middleware 23844 8324 IMPORTANT Request: GET /admin/auth/user/6/change/ from 127.0.0.1 by Anonymous
